Index  56Ni     Ni       Co       Fe       Ca       S        Si       O        C       
   88 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   89 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   90 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   91 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   92 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   93 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   94 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   95 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   96 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   97 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   98 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   99 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  100 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  101 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  102 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  103 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  104 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  105 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  106 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  107 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  108 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  109 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  110 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  111 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  112 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  113 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  114 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  115 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  116 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  117 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  118 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  119 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  120 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
